Name,Date,Body weight,Shape,Sleep,Calories,Stress
"Exercise, Seated Dumbbell Shoulder Press",Set,1,reps,13,weight,26
Instance of 'Loc'
"Exercise, Seated Dumbbell Shoulder Press",Set,2,reps,10,weight,26
"Exercise, Seated Dumbbell Shoulder Press",Set,3,reps,9,weight,26
"Exercise, Seated Machine Row",Set,1,reps,12,weight,70
Instance of 'Loc'
"Exercise, Seated Machine Row",Set,2,reps,11,weight,70
"Exercise, Seated Machine Row",Set,3,reps,10,weight,70
"Exercise, Seated Machine Row",Set,4,reps,9,weight,70
"Exercise, Machine Kelso Shrug",Set,1,reps,10,weight,45
Instance of 'Loc'
"Exercise, Machine Kelso Shrug",Set,2,reps,10,weight,50
Instance of 'Loc'
"Exercise, Machine Kelso Shrug",Set,3,reps,10,weight,50
"Exercise, Machine Kelso Shrug",Set,4,reps,10,weight,50
"Exercise, Machine Bicep Curl",Set,1,reps,10,weight,35
Instance of 'Loc'
"Exercise, Machine Bicep Curl",Set,2,reps,12,weight,30
"Exercise, Machine Bicep Curl",Set,3,reps,11,weight,30
"Exercise, Machine Bicep Curl",Set,4,reps,10,weight,30
"Exercise, Smith Machine JM Press ",Set,1,reps,14,weight,40
Instance of 'Loc'
"Exercise, Smith Machine JM Press ",Set,2,reps,11,weight,45
"Exercise, Smith Machine JM Press ",Set,3,reps,9,weight,45
"Exercise, Smith Machine JM Press ",Set,4,reps,10,weight,40

"JP - Block 4: Week 5, Workout 2",2024-12-19,84.7,7,6,5,-1
"Exercise, High bar squat",Set,1,reps,8,weight,125
Instance of 'Loc'
"Exercise, High bar squat",Set,2,reps,8,weight,130
Instance of 'Loc'
"Exercise, High bar squat",Set,3,reps,1,weight,147.5
Instance of 'Loc'
"Exercise, Smith Machine Squat",Set,1,reps,9,weight,82.5
Instance of 'Loc'
"Exercise, Smith Machine Squat",Set,2,reps,8,weight,82.5
Instance of 'Loc'
"Exercise, Leg Press Calf Raise (Cable)",Set,1,reps,14,weight,100
Instance of 'Loc'
"Exercise, Leg Press Calf Raise (Cable)",Set,2,reps,13,weight,100
